"link","status","locationOfLink"
"http://Sample code here",999,"https://javascriptwebscrapingguy.com/jordan-takes-advantage-of-multithreaded-i-o-in-nodejs/"
"https://github.com/andywer/threads.js/tree/v1",404,"https://javascriptwebscrapingguy.com/jordan-is-speed-speeding-up-scraping-with-multiple-threads/"
"https://www.amazon.com/Premium-Pasta-Maker-Food-Grade-Affordably/dp/B0195DFVIS/ref=sr_1_1",503,"https://javascriptwebscrapingguy.com/jordan-scrapes-amazon-for-private-label-products-work-in-progress/"
